77029,"The Beatles","United Kingdom",1962-10-30,2013-12-08
top100-uk,3,1995-12-14,ms026553,"Free As A Bird"
top100-uk,8,1995-12-21,ms026553,"Free As A Bird"
top100-uk,14,1995-12-28,ms026553,"Free As A Bird"
top100-uk,25,1996-01-04,ms026553,"Free As A Bird"
top100-uk,48,1996-01-11,ms026553,"Free As A Bird"
top100-uk,60,1996-01-18,ms026553,"Free As A Bird"
top100-uk,75,1996-01-25,ms026553,"Free As A Bird"
top100-uk,93,1996-02-15,ms026553,"Free As A Bird"
top100-uk,85,1996-02-22,ms026553,"Free As A Bird"
top100-uk,88,1996-02-29,ms026553,"Free As A Bird"
top100-uk,90,1996-03-07,ms026553,"Free As A Bird"
top100-uk,96,1996-03-14,ms026553,"Free As A Bird"
top100-uk,85,1996-03-21,ms026553,"Free As A Bird"
top100-uk,4,1996-03-07,ms029605,"Real Love"
top100-uk,9,1996-03-14,ms029605,"Real Love"
top100-uk,22,1996-03-21,ms029605,"Real Love"
top100-uk,44,1996-03-28,ms029605,"Real Love"
top100-uk,53,1996-04-04,ms029605,"Real Love"
top100-uk,73,1996-04-11,ms029605,"Real Love"
top100-uk,67,1996-04-18,ms029605,"Real Love"
top100-uk,83,1996-04-25,ms029605,"Real Love"
top100-uk,84,1996-05-16,ms029605,"Real Love"
top100-uk,7,1995-03-23,ms031239,"Baby It's You"
top100-uk,9,1995-03-30,ms031239,"Baby It's You"
top100-uk,27,1995-04-06,ms031239,"Baby It's You"
top100-uk,41,1995-04-13,ms031239,"Baby It's You"
top100-uk,57,1995-04-20,ms031239,"Baby It's You"
top100-uk,73,1995-04-27,ms031239,"Baby It's You"
top100-uk,86,1995-05-18,ms031239,"Baby It's You"
top100-uk,82,1995-05-25,ms031239,"Baby It's You"
top100-uk,100,1995-06-01,ms031239,"Baby It's You"
top100-uk,99,1995-06-08,ms031239,"Baby It's You"
top100-uk,78,1995-06-15,ms031239,"Baby It's You"
top100-uk,81,1995-06-22,ms031239,"Baby It's You"
top100-uk,71,1995-06-29,ms031239,"Baby It's You"
top100-uk,87,1995-07-06,ms031239,"Baby It's You"
jwave,15,2003-10-19,ms006974,"The Long And Winding Road"
jwave,24,2003-10-26,ms006974,"The Long And Winding Road"
jwave,11,2003-11-02,ms006974,"The Long And Winding Road"
jwave,17,2003-11-09,ms006974,"The Long And Winding Road"
jwave,11,2003-11-16,ms006974,"The Long And Winding Road"
jwave,3,2003-11-23,ms006974,"The Long And Winding Road"
jwave,11,2003-12-07,ms006974,"The Long And Winding Road"
jwave,24,2003-12-14,ms006974,"The Long And Winding Road"
jwave,38,2003-12-21,ms006974,"The Long And Winding Road"
jwave,43,2004-01-04,ms006974,"The Long And Winding Road"
jwave,62,2003-11-23,ms007930,"Let It Be"
jwave,47,2004-01-11,ms007930,"Let It Be"
jwave,63,2013-10-20,ms008784,"I Saw Her Standing There"
jwave,93,2013-10-27,ms008784,"I Saw Her Standing There"
jwave,10,2013-11-24,ms008784,"I Saw Her Standing There"
jwave,26,2013-12-01,ms008784,"I Saw Her Standing There"
jwave,99,2013-12-08,ms008784,"I Saw Her Standing There"
jwave,10,1995-12-03,ms026553,"Free As A Bird"
jwave,1,1995-12-10,ms026553,"Free As A Bird"
jwave,1,1995-12-17,ms026553,"Free As A Bird"
jwave,1,1995-12-24,ms026553,"Free As A Bird"
jwave,5,1996-01-07,ms026553,"Free As A Bird"
jwave,3,1996-01-21,ms026553,"Free As A Bird"
jwave,27,1996-03-03,ms029605,"Real Love"
jwave,22,1996-03-10,ms029605,"Real Love"
jwave,12,1996-03-17,ms029605,"Real Love"
jwave,2,1996-04-07,ms029605,"Real Love"
jwave,7,1996-04-14,ms029605,"Real Love"
jwave,14,1996-04-21,ms029605,"Real Love"
jwave,30,1996-04-28,ms029605,"Real Love"
jwave,67,1996-05-05,ms029605,"Real Love"
jwave,79,1995-04-16,ms031239,"Baby It's You"
jwave,8,1994-12-25,ms068111,"I'LL BE ON MY WAY"
jwave,5,1995-01-01,ms068111,"I'LL BE ON MY WAY"
jwave,4,1995-01-08,ms068111,"I'LL BE ON MY WAY"
jwave,14,1995-01-22,ms068111,"I'LL BE ON MY WAY"
jwave,27,1995-02-05,ms068111,"I'LL BE ON MY WAY"
jwave,7,1996-11-17,ms068673,"OB LA DI,OB LA DA"
jwave,8,1996-11-24,ms068673,"OB LA DI,OB LA DA"
jwave,14,1996-12-01,ms068673,"OB LA DI,OB LA DA"
jwave,25,1996-12-08,ms068673,"OB LA DI,OB LA DA"
jwave,68,1996-12-15,ms068673,"OB LA DI,OB LA DA"
jwave,45,1999-11-07,ms069927,"HEY BULLDOG"
jwave,61,1999-11-14,ms069927,"HEY BULLDOG"
jwave,42,2003-11-23,ms072475,"ACROSS THE UNIVERSE"
jwave,69,2006-11-12,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
jwave,39,2006-11-19,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
jwave,37,2006-11-26,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
jwave,7,2006-12-03,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
jwave,11,2006-12-10,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
jwave,20,2006-12-17,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
jwave,14,2006-12-24,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
jwave,94,2007-01-07,ms074131,"STRAWBERRY FIELDS FOREVER(LOVE VERSION)"
